NAME,POS,TEAM,DEPTH,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17,Total,Avg,TM SNAP %,TD
"Darius Leonard","LB","IND",1,50,54,57,28,"","","",61,63,61,44,72,64,53,69,68,65,825,58,79.94,
"D.J. Reader","NT","CIN",1,50,56,68,56,29,"","","","","","","","","","","","",259,51,24.46,
"Grady Jarrett","DT","ATL",1,50,68,44,49,53,52,57,50,63,"",44,47,62,61,61,52,21,853,53,78.91,
"Joe Thomas","OLB","DAL",3,50,75,76,75,46,22,3,"","","",13,"","","",18,42,1,409,27,37.01,
"Khari Willis","SS","IND",1,50,54,57,62,73,73,"",61,64,61,44,60,"",59,69,39,"",842,60,81.59,
"Malik Hooker","FS","IND",2,50,20,"","","","","","","","","","","","","","","",70,35,6.78,
"Quinnen Williams","NT","NYJ",1,50,40,33,50,41,36,48,37,"","",54,52,64,48,33,"","",587,45,51.58,
"B.J. Goodson","IL","CLE",1,49,92,59,64,47,57,75,71,"",57,47,55,54,50,53,"","",847,60,78.64,
"Dante Fowler Jr.","DE","ATL",2,49,57,28,45,34,45,52,41,"","","","","","","","","",602,43,55.69,
"Jaire Alexander","CB","GB",1,49,53,61,70,"",60,68,49,18,"",61,68,61,66,69,52,74,900,60,87.63,
"Josh Sweat","DE","PHI",2,49,39,38,27,28,36,24,41,"",25,25,27,24,25,4,"","",282,20,49.39,
"Tanoh Kpassagnon","DE","KC",2,49,78,46,66,47,38,66,41,65,"",20,30,27,50,28,32,26,1047,65,65.4,
"Damon Arnette","CB","OAK",2,48,49,52,"","","","","","",45,52,8,2,"","",51,17,343,38,31.5,
"Desmond Trufant","CB","DET",2,48,"","",44,"","","","",50,88,49,27,"","","","","",324,54,28.85,
"Montez Sweat","DE","WAS",1,48,50,46,27,44,38,38,"",44,38,32,33,45,56,39,51,52,692,43,66.28,
"Myles Garrett","DE","CLE",1,48,84,49,60,52,50,70,33,"",46,"","",52,54,49,58,52,757,54,70.29,
"Taron Johnson","CB","BUF",1,48,57,60,53,"",63,48,49,44,73,"",76,60,37,50,26,44,825,51,77.03,2
"Darnay Holmes","CB","NYG",2,47,25,27,33,50,3,"",49,47,44,"",35,56,"","","",25,441,36,40.53,
"Jadeveon Clowney","DE","TEN",1,47,62,55,"","",54,58,45,"",52,"","","","","","","",426,53,38.14,
"Joey Bosa","DE","LAC",1,47,57,50,62,28,"",47,30,"","",54,53,59,45,17,"","",549,45,52.99,
"K'Waun Williams","CB","SF",1,47,39,33,34,"","","",33,4,"","","","","",37,"","",284,35,27.41,
"Maliek Collins","DT","OAK",1,47,42,40,25,"","",44,31,58,43,39,48,"","","",23,48,504,42,46.28,
"Tarell Basham","DE","NYJ",2,47,37,32,51,38,24,38,39,"","",54,53,49,62,34,68,47,734,45,64.5,
"Darnell Savage","SS","GB",1,46,54,61,67,"",43,"",52,44,61,61,39,62,68,69,52,75,876,58,85.3,
"Dee Ford","DE","SF",2,46,"","","","","","","","","","","","","","","","",46,46,4.44,
"DeMarcus Lawrence","DE","DAL",1,46,28,31,38,47,40,43,45,47,"",36,35,43,40,52,45,37,667,41,60.36,
"Foyesade Oluokun","ILB","ATL",1,46,18,"",61,63,56,62,54,67,"",47,53,78,73,68,64,67,897,59,82.98,
"Jason McCourty","CB","NE",1,46,30,40,35,"",31,44,58,"",66,20,31,60,16,50,57,29,454,28,67.66,
"Jonathan Jones","CB","NE",2,46,59,49,56,"",54,38,54,"",43,33,41,19,22,56,61,49,522,32,77.79,
"Josh Allen","DE","JAX",1,46,44,45,58,"","",64,"",57,46,27,"","","","","","",397,49,35.45,
"K'Lavon Chaisson","LB","JAX",1,46,18,24,40,47,55,26,"",18,31,33,22,48,25,27,47,48,568,35,50.71,
"Nicholas Morrow","SS","OAK","",46,60,69,11,20,"",37,23,26,71,57,77,62,54,"","",80,723,51,66.39,
"Rock Ya-Sin","CB","IND",2,46,"","",48,49,64,"",47,32,44,41,27,29,46,23,39,"",550,42,53.29,
"Trey Flowers","DE","DET",1,46,43,40,53,"",46,43,38,"","","","","","","","","",309,44,27.52,
"Calais Campbell","DE","BAL",1,45,38,53,55,34,51,"",28,3,"","","",23,33,"",20,27,411,34,38.59,
"Essang Bassey","CB","DEN","",45,47,39,37,"","","",15,48,43,54,26,28,"","","","",382,31,35.11,
"J.C. Jackson","CB","NE",1,45,38,51,56,"",46,33,57,"",66,43,62,49,63,70,59,53,559,34,83.31,
"Jeffery Simmons","DT","TEN",1,45,60,60,"","",64,67,65,52,57,41,56,54,51,50,50,51,839,55,75.11,
"Shelby Harris","NT","DEN",1,45,33,39,55,"",38,32,51,"","","","",32,38,39,39,"",441,40,40.53,
"Charles Omenihu","DE","HOU",3,44,29,40,20,36,35,22,"",10,"",26,46,34,37,38,61,58,546,36,49.32,
"Christian Jones","LB","DET",1,44,46,42,37,"",22,38,39,22,19,25,"",24,"","",24,"",511,31,45.5,
"Corey Peters","NT","ARI",2,44,37,47,47,37,46,61,"",44,17,"","","","","","","",379,42,34.21,
"Davon Godchaux","DT","MIA",1,44,38,28,36,26,"","","","","","","","","","","","",172,34,16.65,
"Eric Wilson","LB","MIN",1,44,67,75,65,54,80,"",75,75,50,48,65,71,51,64,75,58,1034,64,96.28,
"Johnathan Joseph","CB","TEN","",44,39,59,"","",68,46,66,"","",3,10,13,"","","","",375,34,33.57,
"Jamal Perry","CB","MIA",2,44,"","","",7,1,"","","","",5,"","","","",22,"",31,15,25,
"K.J. Wright","LB","SEA",2,44,51,82,68,86,"",75,65,49,68,63,67,54,40,68,59,51,521,32,84.99,
"Leonard Williams","DT","NYG",1,44,42,57,38,47,61,61,55,38,47,"",35,50,56,50,51,68,802,50,73.71,
"Tre'Davious White","CB","BUF",1,44,72,69,74,"",73,57,65,61,73,"",82,60,57,47,44,"",878,62,81.98,
"Vernon Hargreaves III","CB","HOU",2,44,50,66,50,50,74,61,"",50,61,49,79,69,60,54,75,70,981,61,88.62,
"Yannick Ngakoue","DE","MIN",1,44,54,59,54,46,53,"",34,45,25,16,43,56,48,44,30,"",310,20,28.86,
"Adrian Phillips","SS","NE",1,43,49,35,42,"",51,55,58,"",58,33,52,56,57,39,62,4,529,33,78.84,
"Anthony Walker","ML","IND",1,43,30,28,53,73,73,"",26,43,39,18,72,64,41,22,35,30,697,43,67.54,
"Barkevious Mingo","OLB","CHI",2,43,27,24,25,25,20,27,35,12,33,"",18,17,27,24,19,13,389,24,36.36,
"Brian Burns","LB","CAR",1,43,45,63,51,16,57,60,56,55,55,33,62,"",55,58,29,"",750,50,70.82,
"Carl Lawson","DE","CIN","",43,33,47,44,40,43,33,55,"",49,28,58,47,46,57,41,49,723,45,68.27,
"Christian Wilkins","DE","MIA",1,43,48,41,44,37,46,"",58,52,"","",45,44,43,29,47,60,637,45,61.67,
"DeForest Buckner","DT","IND",1,43,44,47,54,67,58,"",46,50,47,40,"",53,49,35,58,45,751,50,72.77,
"Derrick Brown","DT","CAR",1,43,44,42,33,33,47,54,56,43,"",32,"","","","",59,"",742,46,70.07,
"Matt Judon","DE","BAL",1,43,37,56,42,37,54,"",10,53,37,34,"","",49,28,44,26,564,40,52.96,
"Preston Smith","OLB","GB",1,43,55,58,67,"",43,49,41,35,52,49,45,47,56,52,45,62,814,50,79.26,
"Sheldon Rankins","DT","NO",2,43,43,37,35,36,"",22,14,"","","","",45,34,45,"",31,756,68,68.7,
"Takkarist McKinley","DE","ATL",2,43,14,"","",5,"",23,"","","","","","","","","","",85,21,7.86,
"Xavier Rhodes","CB","IND",1,43,28,53,62,67,69,"",49,60,55,44,58,61,35,69,68,65,902,56,87.4,
"Za'Darius Smith","DE","GB",1,43,56,56,64,"",49,50,47,32,53,55,63,52,59,60,35,66,858,53,83.54,
"Brandon Dunn","NT","HOU",1,42,31,42,35,26,40,28,"",31,44,21,37,38,28,"","","",451,34,40.74,
"Chase Winovich","DE","NE",2,42,47,32,37,"",22,13,5,"",65,39,60,52,24,19,35,57,407,25,60.66,
"Everson Griffen","DE","DAL",2,42,56,40,38,36,30,39,"",24,56,19,24,45,"","",35,36,247,17,21.99,
"John Simon","DE","NE",2,42,56,37,45,"",52,49,47,"",41,29,58,31,47,32,46,44,502,31,74.81,
"Linval Joseph","NT","LAC",1,42,45,42,62,57,"",47,46,45,41,33,47,48,36,53,48,33,725,45,69.98,
"Mike Hilton","CB","PIT",1,42,55,37,"",48,22,"","","","",15,29,57,59,28,42,23,463,38,45.17,
"Olivier Vernon","DE","CLE",1,42,"","",65,48,55,66,60,"",45,40,63,72,58,51,69,55,804,57,74.65,
"Poona Ford","NT","SEA",1,42,42,42,41,49,"",61,45,41,45,37,43,35,19,47,43,38,364,22,59.38,
"Bilal Nichols","DT","CHI",1,41,27,43,44,32,33,44,41,37,53,"",51,38,33,48,26,26,617,38,57.66,
"Desmond King II","CB","LAC",1,41,44,17,50,60,"",48,"",54,48,38,71,39,63,33,44,44,448,29,40.11,2
"Kyle Phillips","DE","NYJ","",41,24,21,24,30,24,7,"","","","","","","","","","",171,24,15.03,
"Kyle Van Noy","LB","MIA",1,41,58,52,63,56,"","",90,69,"",43,"","","","",84,"",811,57,78.51,
"Mike Purcell","NT","DEN",1,41,41,47,48,"",36,5,"","","","","","","","","","",218,36,20.04,
"Nick Williams","DT","DET",1,41,"",29,26,"",33,45,41,39,"",35,"","","","","","",538,38,47.91,
"Nickell Robey-Coleman","CB","PHI","",41,41,26,30,32,62,59,35,"",17,18,41,40,55,67,41,"",326,21,57.09,
"Tyeler Davison","DT","ATL",1,41,34,41,30,36,19,23,17,19,"",33,21,51,33,39,29,40,520,32,48.1,
"David Onyemata","DT","NO","",40,51,"",30,38,"",24,52,35,53,24,23,48,44,60,34,34,1024,64,64,
"Elandon Roberts","ILB","MIA",2,40,"",20,32,30,33,"",19,50,37,50,18,8,"",46,19,"",402,30,38.92,
"John Cominsky","DE","ATL",2,40,43,47,29,28,"","","",30,"",17,18,20,26,19,34,39,398,30,36.82,
"Kawann Short","DE","CAR",1,40,"","",43,40,"","","","","","","","","","","","",123,41,11.61,
"Solomon Thomas","DT","SF",2,40,9,"","","","","","","","","","","","","","","",49,24,4.73,
"Tyrone Crawford","DT","DAL",1,40,39,33,33,27,23,15,44,25,"",15,16,6,36,41,25,20,445,27,40.27,
"Vince Williams","IL","PIT",1,40,64,33,"",48,46,45,71,60,34,34,33,53,"","",69,28,671,47,65.46,
"Adam Gotsis","DE","JAX","",39,41,34,17,21,35,29,"",26,35,21,50,60,44,42,29,48,579,36,51.7,
"Danny Shelton","DT","DET",2,39,46,38,52,"",32,54,47,42,41,38,25,"","","","",30,499,41,44.43,
"Darqueze Dennard","CB","ATL","",39,79,77,"","","","","",43,"",31,34,62,60,"","","",437,54,40.43,
"Dean Lowry","DE","GB",1,39,44,32,43,"",43,29,37,25,39,32,30,31,34,44,35,53,601,37,58.52,
"D.J. Jones","DT","SF",2,39,36,24,39,19,30,21,35,33,26,"","",11,"",25,"",40,419,29,40.44,
"Javon Kinlaw","DT","SF",1,39,43,28,47,45,41,25,47,40,35,"",21,48,44,43,"","",546,39,52.7,2
"Johnathan Hankins","DT","OAK",1,39,30,43,41,34,"",39,29,44,"",31,53,44,42,50,45,50,665,41,61.07,
"Trey Hendrickson","DE","NO",1,39,46,41,32,50,"",23,43,31,49,24,23,46,33,46,"",23,960,64,64,
"Trysten Hill","DT","DAL","",39,39,47,64,22,"","","","","","","","","","","","",212,42,19.19,
"Tyus Bowser","OLB","BAL",1,39,32,38,38,32,35,"",29,15,12,19,53,55,42,34,35,24,541,33,50.8,
"Antonio Hamilton","CB","KC","",38,2,"",25,10,"",13,3,"","","","","","","","",43,1047,65,65.4,
"Brandon Graham","DE","PHI",1,38,44,58,56,57,44,43,43,"",46,39,44,41,42,41,58,49,383,23,67.08,
"Christian Covington","DE","CIN",2,38,34,35,38,38,34,30,35,"",50,25,36,40,29,28,20,38,558,34,52.69,
"Denico Autry","DT","IND",1,38,42,43,52,54,52,"",33,42,37,"","",43,44,51,48,52,631,45,61.14,
"Dre'Mont Jones","DT","DEN",1,38,20,"","","","",31,51,41,47,51,50,47,39,47,41,57,560,43,51.47,
"Ed Oliver","DT","BUF",1,38,36,39,39,"",42,35,40,39,40,"",47,34,37,33,24,18,578,36,53.97,
"Jerry Hughes","DE","BUF",1,38,48,43,45,"",43,36,40,44,49,"",57,41,44,33,27,"",629,41,58.73,
"Juan Thornhill","FS","KC",2,38,82,56,73,69,53,52,48,67,"",6,41,20,39,22,19,71,1047,65,65.4,
"Kenny Moore II","CB","IND",1,38,54,53,57,73,73,"",61,56,33,44,71,64,57,69,68,65,952,59,92.25,
"Kenny Young","ILB","LAR",1,38,45,39,34,38,25,21,22,"",29,20,33,15,41,30,20,21,471,29,46,
"Logan Ryan","CB","NYG",1,38,55,77,57,66,73,81,68,54,67,"",49,72,79,64,68,82,1050,65,96.51,
"Stephen Weatherly","DE","CAR",1,38,40,55,38,37,39,38,43,30,"","","","","","","","",358,39,33.81,
"Armon Watts","NT","MIN",2,37,38,22,20,11,30,"",13,36,11,13,17,19,18,26,41,35,392,24,36.5,
"Mike Daniels","DT","CIN","",37,"",28,"","","",25,35,"",42,23,43,34,32,26,21,"",355,32,33.52,
"Noah Igbinoghene","CB","MIA",2,37,57,66,63,10,13,"",7,"","",1,"","","","",39,"",286,17,27.69,
"Roy Robertson-Harris","DT","CHI",1,37,33,37,34,37,18,34,15,"","","","","","","","","",245,30,22.9,
"Ben Niemann","LB","KC",2,36,46,24,20,25,18,32,23,41,"",11,21,19,75,47,24,"",1047,65,65.4,
"Chandon Sullivan","CB","GB",2,36,43,44,3,"",46,63,13,35,64,53,64,60,33,58,31,65,729,45,70.98,
"DaQuan Jones","NT","TEN",1,36,42,45,"","",50,55,54,38,55,36,37,44,37,41,46,37,705,44,63.12,
"Dontari Poe","DT","DAL",1,36,35,46,59,31,26,33,"","","","","","","","","","",267,38,24.16,
"Jonathan Allen","DE","WAS",1,36,50,50,45,53,38,41,"",59,51,37,47,62,58,53,58,57,808,50,77.39,
"Sheldon Richardson","DT","CLE",2,36,67,42,53,47,47,61,60,"",35,36,50,54,51,30,63,52,798,49,74.09,
"Tremaine Edmunds","ML","BUF",1,36,"",68,74,"",73,57,63,65,73,"",83,61,57,49,44,42,911,60,85.06,
"A.J. Klein","OLB","BUF",2,35,72,1,8,"",64,38,51,62,67,"",83,42,30,36,24,20,652,40,60.88,
"Brandon Williams","DT","BAL",1,35,25,31,32,36,"","",26,27,5,"","",29,38,21,21,28,355,27,33.33,
"Chris Jackson","CB","TEN",2,35,38,"","","","",32,44,9,8,"","","",11,9,"","",239,21,21.4,
"Dre Greenlaw","OLB","SF",1,35,17,"","",35,60,40,66,64,55,"",59,71,60,57,"","",699,53,67.47,
"Jamel Dean","CB","TB",2,35,54,55,33,39,45,40,74,71,48,38,"","","",51,53,72,708,50,66.6,
"James Vaughters","OLB","CHI","",35,24,20,23,15,33,24,12,9,12,"",14,"","",10,9,3,243,17,22.71,
"Jarrad Davis","ML","DET","",35,46,15,19,"",11,20,14,"","",16,18,17,15,27,39,31,330,23,29.39,
"Jordan Willis","DE","NYJ","",35,"",11,"","","","",16,25,19,"","",19,21,27,"","",183,20,17.66,
"Mario Addison","OLB","BUF",1,35,44,32,42,"",44,39,40,43,49,"",52,41,37,38,26,"",606,40,56.58,
"Pierre Desir","CB","NYJ",2,35,36,58,70,75,56,74,66,"","","","","","","",5,"",514,42,45.17,2
"Quinton Jefferson","DT","BUF",1,35,47,44,34,"",41,31,19,42,41,"",47,27,24,33,15,16,534,33,49.86,
"Tavon Young","CB","BAL",1,35,3,"","","","","","","","","","","","","","","",38,19,3.57,
"Adam Butler","DT","NE",2,34,18,29,30,"",20,13,19,"",39,"",47,35,34,51,55,49,259,17,38.6,
"Brandon Jones","FS","MIA",2,34,18,39,19,9,8,"",39,15,"",14,23,28,34,"",21,13,385,24,37.27,
"Devon Kennard","LB","ARI",2,34,42,39,"","",61,57,"","",11,19,11,25,14,7,"",26,362,27,32.67,
"D.J. Swearinger","FS","NO",3,34,"","",17,"","","","",8,9,1,7,24,"",5,19,"",1024,64,64,
"Justin Houston","DE","IND",2,34,37,32,49,49,43,"",36,33,36,28,32,35,28,43,43,39,608,38,58.91,
"Nathan Shepherd","DE","NYJ",2,34,16,16,"",14,"",14,20,"","",16,10,5,20,38,62,46,335,23,29.44,
"William Gholston","DE","TB",1,34,37,28,24,37,32,45,45,48,31,47,46,"",45,40,25,42,606,37,57.01,
"Dawuane Smoot","DE","JAX",3,33,25,13,36,40,64,44,"",39,25,36,36,59,42,47,56,57,665,41,59.38,
"Kerry Hyder Jr.","DE","SF",2,33,52,36,47,43,44,28,51,43,40,"",41,53,52,47,"",46,721,45,69.59,
"Malik Reed","LB","DEN",2,33,31,29,57,"",49,43,67,53,47,55,49,54,55,55,47,61,785,49,72.15,
"Shilique Calhoun","LB","NE","",33,17,27,28,"",54,28,7,"","","","","","",40,"",12,205,20,30.55,
"Adrian Clayborn","DE","CLE",2,32,18,16,"",21,19,25,21,"",23,28,56,40,17,23,18,36,404,26,37.51,
"Dalvin Tomlinson","NT","NYG",1,32,38,49,45,43,57,49,36,29,36,"",21,30,47,50,45,49,658,41,60.48,
"Henry Anderson","DE","NYJ",1,32,34,23,20,17,18,31,35,"","",35,32,22,45,39,48,49,549,34,48.24,
"John Reid","CB","HOU",2,32,"","",12,"","","","",3,64,2,10,69,"","",60,25,145,11,13.1,
"Larry Ogunjobi","DT","CLE",1,32,57,40,29,"",55,46,58,"",36,32,50,43,35,42,44,31,642,42,59.61,
"Rashad Fenton","CB","KC",2,32,82,54,75,35,30,31,23,32,"",6,26,"",39,3,"",51,1047,65,65.4,
"Rashan Gary","OLB","GB",2,32,33,18,"","",17,44,28,24,31,25,43,36,19,35,30,30,456,30,44.4,
"Tyson Alualu","DE","PIT",1,32,33,23,"",21,26,34,6,"",19,23,45,29,36,30,33,51,448,29,43.71,
"Charvarius Ward","CB","KC",1,31,"",33,59,49,53,64,54,82,"",40,59,65,55,52,68,"",1047,65,65.4,
"Fabian Moreau","CB","WAS",1,31,41,"","","",13,11,"","",8,6,"",3,1,"",2,35,156,9,14.94,
"Folorunso Fatukasi","NT","NYJ",1,31,18,23,24,20,25,41,29,"","",41,40,27,41,"",46,45,507,33,44.55,
"Jihad Ward","OLB","BAL",2,31,21,32,39,28,20,"","","","","","",38,30,"",17,15,271,27,25.45,
"Jordan Jenkins","LB","NYJ",1,31,41,35,14,41,34,54,29,"","",56,53,67,"","","","",529,44,46.49,
"Jordan Phillips","NT","ARI","",31,33,42,46,32,40,27,"",12,"","","","",4,"","","",266,29,24.01,
"Steve McLendon","NT","NYJ",2,31,30,29,34,30,24,25,40,41,18,27,27,"",43,25,19,"",265,17,24.93,
"Zach Allen","DE","ARI",2,31,14,17,57,44,35,7,"","","","",42,36,36,74,"",62,505,38,45.58,
"Abry Jones","DT","JAX","",30,31,36,38,24,"","","","","","","","","","","","",159,31,14.2,
"Dexter Lawrence","DT","NYG",1,30,39,55,42,36,41,48,43,25,38,"",25,37,43,48,51,52,655,40,60.2,
"Grover Stewart","NT","IND",1,30,28,32,34,48,45,"",21,39,34,23,65,36,39,31,36,31,581,36,56.3,
"Haason Reddick","OLB","ARI",1,30,29,35,44,34,54,79,"",57,73,66,51,73,47,80,"",73,874,54,78.88,
"Hassan Ridgeway","DT","PHI",2,30,23,15,23,24,15,7,"","","","","","","","","","",137,19,23.99,
"Jalyn Holmes","DT","MIN","",30,43,34,43,31,45,"",62,53,39,36,53,62,29,44,"","",617,44,57.45,
"L.J. Collier","DE","SEA",1,30,41,46,32,40,"",39,48,39,40,24,29,24,18,34,38,37,316,19,51.55,
"Matt Ioannidis","DT","WAS",2,30,42,9,"","","","","","","","","","","","","","",81,27,7.76,
"Rasheem Green","OLB","SEA",2,30,"","","","","","","",25,29,40,39,32,38,43,41,48,55,5,8.97,
"Arden Key","LB","OAK",3,29,34,27,26,23,"",28,"","",30,26,33,25,37,25,32,39,434,31,39.85,
"Da'Shawn Hand","DE","DET","",29,46,28,37,"",32,43,42,24,52,"","","",20,"","","",353,35,31.43,
"Lano Hill","SS","SEA","",29,61,"","","","","","","","","","","","","","","",90,45,14.68,
"Kingsley Keke","DE","GB",1,29,35,28,35,"",37,30,16,33,14,23,19,24,36,24,25,"",414,27,40.31,
"Lonnie Johnson Jr.","CB","HOU",2,29,23,43,9,62,35,37,"",49,"",33,"","","","","","",702,43,63.41,
"Mike Danna","LB","KC",2,29,40,24,5,"","","",25,29,"",7,16,21,32,13,26,60,855,65,65.8,
"Romeo Okwara","DE","DET",1,29,44,33,52,"",48,42,42,53,54,34,36,66,56,58,41,47,749,46,66.7,
"Terrence Brooks","FS","NE",2,29,6,21,7,"",19,27,58,"",13,5,2,"","","",42,12,200,14,29.81,
"A.J. Bouye","CB","DEN","",28,"","","","","",51,70,"",70,65,62,64,"","","","",410,58,37.68,
"Antwaun Woods","DT","DAL","",28,22,31,47,25,26,26,46,38,"",28,44,35,32,17,"","",458,32,41.45,
"Broderick Washington","DT","BAL",2,28,3,"",21,"",20,"","","","",21,"","","","","","",161,20,15.12,
"Darryl Roberts","CB","DET",3,28,48,53,32,"",56,38,"","","","","",59,41,"",34,80,469,42,41.76,
"Jerry Tillery","DT","LAC",1,28,54,46,54,59,"",32,37,41,44,35,53,59,38,61,63,42,746,46,72.01,
"Kyler Fackrell","LB","NYG",2,28,36,39,42,65,73,73,64,47,63,"",23,"","","","",54,607,50,55.79,2
"Tavierre Thomas","CB","CLE",2,28,76,30,39,"","","","","","","",25,4,1,"","","",203,12,18.85,
"Joejuan Williams","CB","NE",2,27,8,9,8,"","","",13,"","",3,"",23,4,"",27,36,81,5,12.07,
"Nasir Adderley","FS","LAC",1,27,76,46,76,76,"",63,65,50,58,60,62,67,31,"",76,53,886,59,85.52,
"Pernell McPhee","LB","BAL",1,27,35,35,28,35,40,"",34,33,27,31,"",38,27,16,22,18,459,30,43.1,
"Raekwon Davis","DE","MIA",1,27,22,13,19,11,26,"",50,37,36,49,33,28,41,39,53,54,538,33,52.08,
"Xavien Howard","CB","MIA",1,27,60,66,63,54,60,"",95,69,60,62,55,30,62,55,63,55,936,58,90.61,
"A.J. Moore Jr.","FS","HOU","",26,24,29,"","","","","","","",18,35,11,17,42,76,70,355,32,32.07,
"Anthony Hitchens","IL","KC",1,26,65,36,56,47,35,45,34,43,"",35,41,47,45,33,"","",1047,65,65.4,
"Brennan Scarlett","OLB","HOU",2,26,41,38,47,34,40,19,"",10,"","","","","","",16,15,286,26,25.84,
"DaVon Hamilton","DT","JAX",1,26,27,34,35,30,41,"","","",41,32,38,"","","","","",407,37,36.34,
"Jordan Elliott","DT","CLE",2,26,34,22,31,9,21,16,24,"",18,12,18,23,9,11,12,16,307,19,28.51,
"Oshane Ximines","LB","NYG",1,26,19,44,19,"","","","","","","","","","","","","",110,27,10.11,
"Will Compton","LB","TEN",3,26,"",1,"","","",5,"","","",24,30,21,"",1,"","",123,10,11.01,
"Rakeem Nunez-Roches","DE","TB",2,25,34,29,14,19,36,35,32,55,17,32,28,"",38,29,21,38,482,30,45.34,
"Ricardo Allen","FS","ATL",2,25,19,"","",63,54,61,53,72,"",45,45,50,"","",55,45,606,50,56.06,
"Trent Murphy","DE","BUF",2,25,39,39,40,"","",24,37,29,34,"","","","","","",44,343,34,32.03,
"Deatrich Wise Jr.","DE","NE",1,24,20,39,27,"",38,30,47,"","",27,"","","","","","",378,23,56.33,2
"Jimmy Smith","CB","BAL",2,24,50,66,29,52,64,"",42,68,"",19,14,"",19,"","","",455,41,42.72,
"Kristian Fulton","CB","TEN",1,24,44,25,"","",56,37,"","","","","","","","","",16,202,33,18.08,
"Will Redmond","FS","GB","",24,12,32,39,"",22,68,4,"","",1,30,9,44,22,"",35,340,26,33.11,
"Zach Kerr","DT","CAR",1,24,43,31,15,25,38,31,"",17,40,17,28,"","","",35,39,390,30,36.83,
"Al-Quadin Muhammad","DE","IND",2,23,32,39,32,37,39,"",38,42,34,23,46,41,42,32,31,40,579,36,56.1,
"Angelo Blackson","DE","ARI",2,23,32,24,41,26,33,40,"",33,43,41,39,48,24,40,"",31,551,34,49.73,
"Carl Granderson","DE","NO",2,23,32,18,27,12,"",8,6,12,"",11,16,20,6,32,38,26,1024,64,64,
"John Jenkins","NT","CHI",2,23,26,"","","",15,18,20,"","","",35,15,14,34,11,12,223,20,20.84,
"Leighton Vander Esch","LB","DAL",1,23,"","","","",32,67,59,38,"",33,"","","","","","",460,46,41.63,
"L.J. Fort","OLB","BAL","",23,26,43,35,25,31,"",17,"","",15,32,33,35,18,30,12,381,27,35.77,
"Malcolm Roach","DT","NO",1,23,29,30,18,"","","","",17,"","","","","","",31,"",1024,64,64,
"Morgan Fox","DE","LAR",1,23,29,23,27,22,28,29,17,"",24,22,30,18,29,16,34,32,403,25,39.36,
"Tyler Lancaster","DE","GB",2,23,33,29,35,"",9,"",27,22,22,28,17,14,19,21,20,24,352,23,34.27,
"Eddie Yarbrough","DE","MIN","",22,"","","","","","","","","","","",23,"","",18,20,83,20,7.73,
"Jaylon Ferguson","OLB","BAL",3,22,14,17,24,24,30,"",21,18,19,14,36,23,"",15,"",19,302,21,28.36,
"Kamren Curl","SS","WAS",1,22,32,14,24,36,2,39,"",77,59,49,59,61,81,57,65,68,763,47,73.08,
"Kevin Givens","DT","SF",2,22,38,27,17,35,29,31,29,29,28,"",41,42,"",18,"","",386,29,37.26,
"Lawrence Guy","DT","NE",1,22,45,36,36,"",49,41,20,"",35,23,49,22,46,45,"",27,365,26,54.4,
"Logan Wilson","LB","CIN",1,22,14,29,"",30,33,22,30,"",35,25,45,40,8,"","","",343,28,32.39,
"Markus Golden","LB","NYG",1,22,15,23,7,57,24,27,"",34,57,52,37,63,34,47,"",52,175,10,16.08,
"Nick Kwiatkoski","IL","OAK",1,22,"","",53,33,"",54,48,62,66,55,61,50,47,66,"","",651,54,59.78,
"Ryan Kerrigan","DE","WAS",2,22,23,41,29,21,7,16,"",29,23,20,30,30,37,24,22,16,397,24,38.03,
"Sebastian Joseph-Day","NT","LAR",1,22,21,21,27,18,42,22,27,"",18,28,33,22,23,32,28,28,412,25,40.23,
"Vinny Curry","DE","PHI","",22,"","","","",19,20,36,"",25,"",23,19,25,27,49,45,97,8,16.99,
"Byron Cowart","DT","NE","",21,31,24,17,"","",42,45,"",29,23,"",26,30,36,30,21,277,19,41.28,
"Frankie Luvu","OLB","NYJ",2,21,4,4,3,26,3,"","","","",12,1,15,31,40,55,42,258,19,22.67,
"Justin Ellis","DT","BAL","",21,10,17,25,"",33,"","",16,47,42,48,25,22,16,20,"",358,27,33.62,
"Malik Harrison","LB","BAL",1,21,11,11,9,14,8,"",10,33,49,25,10,10,18,8,9,7,263,16,24.69,
"Margus Hunt","NT","NO","",21,38,17,18,"","",21,29,"","",23,36,"",20,38,32,40,273,68,68.2,
"Matt Dickerson","DE","TEN",3,21,14,"","","","","","","","",4,21,37,24,23,19,15,197,19,17.64,
"Matt Milano","LB","BUF",1,21,"",69,55,"","",19,15,"","","","",19,27,25,44,41,335,33,31.28,
"Tedric Thompson","FS","KC","",21,16,20,14,2,"",17,3,"","","","","","","","","",645,64,64.5,
"Akeem Davis-Gaither","LB","CIN",2,20,19,25,21,50,26,14,22,"",13,1,7,7,5,17,13,54,314,19,29.65,
"Cameron Sutton","CB","PIT",1,20,13,14,"",21,26,33,44,40,50,23,11,72,72,21,25,54,548,34,53.46,
"Carl Nassib","DE","OAK",2,20,15,27,19,3,"",39,31,37,35,44,57,"","",42,35,41,463,33,42.52,
