NAME,POS,TEAM,DEPTH,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17,Total,Avg,TM SNAP %,TD
"Danny Trevathan","IL","CHI","",70,31,54,53,55,58,56,57,42,64,"",48,55,52,49,42,45,831,51,77.66,
"Demario Davis","LB","NO",1,70,80,62,61,71,"",46,70,49,71,41,36,67,69,98,64,61,1024,64,64,
"Malcolm Jenkins","SS","NO",1,70,80,62,61,70,"",46,70,49,71,45,36,67,69,98,64,61,1024,64,64,
"Marcus Williams","FS","NO",1,70,80,62,61,71,"",46,70,49,71,45,36,67,69,66,"","",960,64,64,
"Marshon Lattimore","CB","NO",1,70,77,62,"",70,"",46,70,36,48,"",36,67,69,98,62,60,1024,64,64,
"Rodney McLeod","FS","PHI",3,70,69,72,73,75,73,60,79,"",71,49,67,61,35,"","","",571,43,100,2
"Troy Hill","CB","LAR",2,70,71,61,66,38,72,63,48,"",65,62,65,61,54,61,63,52,972,60,94.92,
"Bradley Roby","CB","HOU","",69,65,69,66,75,75,3,"","",65,50,57,"","","","","",613,61,55.37,
"Marlon Humphrey","CB","BAL",1,69,59,74,71,67,72,"",53,"",55,51,72,78,83,58,59,32,973,64,91.36,
"Nathan Gerry","FS","PHI","",69,69,70,72,75,68,55,"","","","","","","","","","",478,68,83.71,
"Zach Cunningham","IL","HOU",1,69,65,65,57,52,75,49,"",53,65,32,47,58,44,54,76,71,944,59,85.28,
"Antoine Winfield Jr.","SS","TB",1,68,72,63,53,62,59,64,"",71,"","","","","","","","",1034,64,97.27,
"Carlton Davis","CB","TB",1,68,72,63,53,63,63,58,74,73,47,72,79,"",79,40,"","",904,64,85.04,
"Casey Hayward Jr.","CB","LAC",1,68,77,51,76,54,"",63,50,50,56,47,"",39,56,74,27,"",788,56,76.06,
"Chris Harris Jr.","CB","LAC",1,68,77,36,"","","","","","","","",61,66,57,73,77,53,568,63,54.83,
"Devin Bush","IL","PIT",1,68,77,47,"",59,27,"","","","","","","","","","","",278,55,27.12,
"Devin White","IL","TB",1,68,73,63,53,63,63,65,74,73,48,72,79,"",79,65,53,"",991,66,93.23,
"Jimmy Moreland","CB","WAS",3,68,77,13,9,15,27,45,"",39,22,39,41,58,34,29,35,33,599,37,57.38,
"Joe Haden","CB","PIT",1,68,77,47,"",59,57,56,81,72,60,27,51,56,"",56,69,"",845,60,82.44,
"Jon Bostic","IL","WAS",1,68,77,63,57,68,48,44,"",77,59,26,38,57,81,57,68,68,965,60,92.43,
"Landon Collins","SS","WAS",1,68,77,62,57,68,48,17,"","","","","","","","","","",397,56,38.03,
"Lavonte David","IL","TB",1,68,73,63,51,63,63,65,74,73,48,72,79,"",79,65,48,72,1056,66,99.34,
"Leonard Floyd","LB","LAR",1,68,62,56,59,53,68,60,44,"",61,63,65,56,50,57,54,40,916,57,89.45,
"Minkah Fitzpatrick","SS","PIT",1,68,77,47,"",59,57,57,82,72,60,39,54,72,75,56,69,62,1020,63,99.51,
"Quinton Dunbar","CB","SEA",2,68,54,"","",69,"",84,68,54,"","","","","","","","",397,66,64.76,
"Rayshawn Jenkins","FS","LAC",1,68,34,51,76,76,"",63,65,50,58,60,61,63,57,72,5,"",859,57,82.92,
"Ronald Darby","CB","WAS",1,68,76,63,56,68,36,49,"",77,55,46,59,66,80,57,61,67,1001,62,95.88,
"Sean Bunting","CB","TB",1,68,72,19,53,62,63,64,"",26,"","","","","","","","",882,55,82.97,
"Terrell Edmunds","SS","PIT",1,68,71,47,"",54,54,48,61,59,"",36,"","","","",61,"",805,53,78.54,
"Troy Apke","FS","WAS",2,68,77,63,57,47,"",1,"","",27,49,30,"","","",3,"",441,27,42.24,
"Bruce Irvin","DE","SEA",1,67,54,"","","","","","","","","","","","","","","",122,61,19.9,
