Player,Team,Cap Number,Cash Spent,Year,Pos
Jimmy Garoppolo,49ers,"$37,000,000","$41,950,000",2018,QB
Matt Stafford,Lions,"$26,500,000","$16,500,000",2018,QB
Derek Carr,Raiders,"$25,000,000","$22,500,000",2018,QB
Joe Flacco,Ravens,"$24,750,000","$12,000,000",2018,QB
Andrew Luck,Colts,"$24,400,000","$18,000,000",2018,QB
Kirk Cousins,Vikings,"$24,000,000","$26,000,000",2018,QB
Drew Brees,Saints,"$24,000,000","$27,000,000",2018,QB
Russell Wilson,Seahawks,"$23,786,764","$15,500,000",2018,QB
Ben Roethlisberger,Steelers,"$23,200,000","$17,000,000",2018,QB
Eli Manning,Giants,"$22,200,000","$16,000,000",2018,QB
Tom Brady,Patriots,"$22,000,000","$15,000,000",2018,QB
Philip Rivers,Chargers,"$22,000,000","$15,000,000",2018,QB
Cam Newton,Panthers,"$21,500,000","$15,000,000",2018,QB
Aaron Rodgers,Packers,"$20,900,000","$66,900,000",2018,QB
Alex Smith,Commanders,"$18,400,000","$40,000,000",2018,QB
Matt Ryan,Falcons,"$17,700,000","$52,500,000",2018,QB
Andy Dalton,Bengals,"$16,300,000","$13,900,000",2018,QB
Tyrod Taylor,Browns,"$16,000,000","$16,000,000",2018,QB
Case Keenum,Broncos,"$15,000,000","$18,000,000",2018,QB
Nick Foles,Eagles,"$13,600,000","$11,250,000",2018,QB
Josh McCown,Jets,"$10,000,000","$10,000,000",2018,QB
Blake Bortles,Jaguars,"$10,000,000","$20,000,000",2018,QB
Ryan Tannehill,Dolphins,"$8,676,666","$17,500,000",2018,QB
Jameis Winston,Buccaneers,"$7,941,903","$3,767,580",2018,QB
Marcus Mariota,Titans,"$7,704,446","$3,736,905",2018,QB
Jared Goff,Rams,"$7,619,365","$2,989,788",2018,QB
Carson Wentz,Eagles,"$7,275,365","$2,875,122",2018,QB
Mitchell Trubisky,Bears,"$6,598,281","$1,784,656",2018,QB
Baker Mayfield,Browns,"$5,942,360","$22,329,440",2018,QB
Sam Darnold,Jets,"$5,499,581","$20,558,324",2018,QB
Matt Schaub,Falcons,"$4,500,000","$3,250,000",2018,QB
Chase Daniel,Bears,"$4,000,000","$4,000,000",2018,QB
Josh Allen,Bills,"$3,851,461","$13,965,844",2018,QB
Patrick Mahomes,Chiefs,"$3,733,173","$1,211,635",2018,QB
Colt McCoy,Commanders,"$3,600,000","$2,950,000",2018,QB
Ryan Fitzpatrick,Buccaneers,"$3,300,000","$3,300,000",2018,QB
Josh Rosen,Cardinals,"$3,199,593","$11,358,372",2018,QB
Deshaun Watson,Texans,"$3,148,746","$1,094,749",2018,QB
Chad Henne,Chiefs,"$2,600,000","$4,150,000",2018,QB
Drew Stanton,Browns,"$2,500,000","$3,265,625",2018,QB
Teddy Bridgewater,Saints,"$2,290,000","$5,000,000",2018,QB
Blaine Gabbert,Titans,"$2,000,000","$2,500,000",2018,QB
Mike Glennon,Cardinals,"$2,000,000","$5,000,000",2018,QB
Trevor Siemian,Vikings,"$1,907,000","$1,907,000",2018,QB
Lamar Jackson,Ravens,"$1,722,118","$5,448,472",2018,QB
Ryan Griffin,Buccaneers,"$1,375,000","$1,600,000",2018,QB
Robert Griffin III,Ravens,"$1,100,000","$1,100,000",2018,QB
Sean Mannion,Rams,"$1,034,227","$877,778",2018,QB
Geno Smith,Chargers,"$1,000,000","$1,000,000",2018,QB
Brian Hoyer,Patriots,"$915,000","$915,000",2018,QB
A.J. McCarron,Raiders,"$900,000","$900,000",2018,QB
C.J. Beathard,49ers,"$801,965","$625,393",2018,QB
Jacoby Brissett,Colts,"$760,076","$760,076",2018,QB
Cody Kessler,Jaguars,"$758,098","$758,098",2018,QB
Dak Prescott,Cowboys,"$725,848","$630,000",2018,QB
Matt Cassel,Lions,"$720,000","$1,105,000",2018,QB
David Fales,Dolphins,"$720,000","$880,000",2018,QB
Brandon Weeden,Texans,"$720,000","$880,000",2018,QB
Brock Osweiler,Dolphins,"$720,000","$880,000",2018,QB
Mason Rudolph,Steelers,"$713,066","$1,412,264",2018,QB
Brett Hundley,Seahawks,"$705,000","$705,000",2018,QB
Joshua Dobbs,Steelers,"$694,781","$555,000",2018,QB
DeShone Kizer,Packers,"$689,928","$689,928",2018,QB
Taylor Heinicke,Panthers,"$689,000","$689,000",2018,QB
Kyle Lauletta,Giants,"$656,925","$1,187,700",2018,QB
Kevin Hogan,Broncos,"$630,000","$630,000",2018,QB
Joe Webb,Texans,"$630,000","$915,000",2018,QB
Jeff Driskel,Bengals,"$630,000","$630,000",2018,QB
Nate Sudfeld,Eagles,"$630,000","$630,000",2018,QB
Matt Barkley,Bills,"$618,235","$1,018,235",2018,QB
Cooper Rush,Cowboys,"$556,666","$555,000",2018,QB
Alex Tanney,Giants,"$555,000","$555,000",2018,QB
Brad Kaaya,Colts,"$555,000","$555,000",2018,QB
Kyle Sloter,Vikings,"$555,000","$555,000",2018,QB
Taysom Hill,Saints,"$555,000","$555,000",2018,QB
Mike White,Cowboys,"$534,389","$697,556",2018,QB
Derek Anderson,Bills,"$503,236","$775,001",2018,QB
Tim Boyle,Packers,"$482,000","$486,000",2018,QB
Nick Mullens,49ers,"$395,294","$395,294",2018,QB
Luke Falk,Dolphins,"$390,529","$390,529",2018,QB
Jake Rudock,Lions,"$340,000","$340,000",2018,QB
Davis Webb,Jets,"$261,176","$261,176",2018,QB
Mark Sanchez,Commanders,"$222,353","$322,941",2018,QB
Tom Savage,Bengals,"$207,353","$207,353",2018,QB
Josh Johnson,Commanders,"$148,235","$215,294",2018,QB
Kurt Benkert,Falcons,"$129,200","$129,200",2018,QB
Alex McGough,Seahawks,"$129,200","$129,200",2018,QB
Chase Litton,Chiefs,"$129,200","$129,200",2018,QB
Cardale Jones,Chargers,"$129,200","$129,200",2018,QB
Danny Etling,Patriots,"$129,200","$129,200",2018,QB
Brandon Allen,Rams,"$114,000","$114,000",2018,QB
Garrett Grayson,Broncos,"$76,000","$76,000",2018,QB
Connor Cook,Bengals,"$60,800","$60,800",2018,QB
Kyle Allen,Panthers,"$56,471","$56,471",2018,QB
Chad Kanoff,Cardinals,"$30,400","$30,400",2018,QB
Tanner Lee,Jaguars,"$28,235","$28,235",2018,QB
Nathan Peterman,Raiders,"$15,200","$15,200",2018,QB
J.T. Barrett,Saints,"$7,600","$7,600",2018,QB
Phillip Walker,Colts,"$7,600","$7,600",2018,QB
Nathan Peterman,Raiders,$0,$0,2018,QB
Matt Stafford,Lions,"$30,700,000","$19,500,000",2019,QB
Aaron Rodgers,Packers,"$29,352,000","$29,260,000",2019,QB
Kirk Cousins,Vikings,"$29,000,000","$28,000,000",2019,QB
Russell Wilson,Seahawks,"$26,286,766","$70,000,000",2019,QB
Ben Roethlisberger,Steelers,"$26,200,000","$45,000,000",2019,QB
Eli Manning,Giants,"$23,200,000","$17,000,000",2019,QB
Cam Newton,Panthers,"$23,200,000","$16,700,000",2019,QB
Philip Rivers,Chargers,"$23,000,000","$16,000,000",2019,QB
Drew Brees,Saints,"$22,700,000","$23,000,000",2019,QB
Derek Carr,Raiders,"$22,500,000","$20,000,000",2019,QB
Tom Brady,Patriots,"$21,500,000","$23,000,000",2019,QB
Jameis Winston,Buccaneers,"$20,922,000","$20,922,000",2019,QB
Marcus Mariota,Titans,"$20,922,000","$20,922,000",2019,QB
Alex Smith,Commanders,"$20,100,000","$15,000,000",2019,QB
Jimmy Garoppolo,49ers,"$20,000,000","$18,600,000",2019,QB
Andy Dalton,Bengals,"$16,200,000","$16,200,000",2019,QB
Matt Ryan,Falcons,"$15,800,000","$21,500,000",2019,QB
Nick Foles,Jaguars,"$12,000,000","$30,125,000",2019,QB
Jared Goff,Rams,"$10,629,577","$26,000,000",2019,QB
Jacoby Brissett,Colts,"$8,525,000","$14,900,000",2019,QB
Carson Wentz,Eagles,"$8,393,779","$17,087,683",2019,QB
Mitchell Trubisky,Bears,"$7,917,937","$3,104,312",2019,QB
Baker Mayfield,Browns,"$7,427,950","$1,965,590",2019,QB
Sam Darnold,Jets,"$6,874,476","$1,854,895",2019,QB
Kyler Murray,Cardinals,"$6,392,481","$24,084,924",2019,QB
Chase Daniel,Bears,"$6,000,000","$6,000,000",2019,QB
Ryan Fitzpatrick,Dolphins,"$5,500,000","$5,500,000",2019,QB
Joe Flacco,Broncos,"$4,900,000","$18,500,000",2019,QB
Josh Allen,Bills,"$4,814,326","$1,442,865",2019,QB
Daniel Jones,Giants,"$4,666,192","$17,179,768",2019,QB
Patrick Mahomes,Chiefs,"$4,479,808","$1,958,270",2019,QB
Chad Henne,Chiefs,"$4,100,000","$2,550,000",2019,QB
Deshaun Watson,Texans,"$3,778,495","$1,724,498",2019,QB
Drew Stanton,Browns,"$3,765,625","$2,765,625",2019,QB
Case Keenum,Commanders,"$3,500,000","$3,500,000",2019,QB
Tyrod Taylor,Chargers,"$3,500,000","$6,000,000",2019,QB
Colt McCoy,Commanders,"$3,375,000","$3,500,000",2019,QB
Teddy Bridgewater,Saints,"$3,250,000","$7,250,000",2019,QB
Nate Sudfeld,Eagles,"$3,095,000","$3,095,000",2019,QB
A.J. McCarron,Texans,"$3,000,000","$3,000,000",2019,QB
Brian Hoyer,Colts,"$3,000,000","$5,000,000",2019,QB
Dwayne Haskins,Commanders,"$2,621,202","$8,999,808",2019,QB
Josh McCown,Eagles,"$2,450,000","$2,000,000",2019,QB
Ryan Tannehill,Titans,"$2,225,000","$4,500,000",2019,QB
Lamar Jackson,Ravens,"$2,152,648","$910,530",2019,QB
Dak Prescott,Cowboys,"$2,120,848","$2,025,000",2019,QB
Trevor Siemian,Jets,"$2,000,000","$1,781,250",2019,QB
Brett Hundley,Cardinals,"$1,875,000","$1,875,000",2019,QB
Mike Glennon,Raiders,"$1,865,625","$1,950,000",2019,QB
Matt Barkley,Bills,"$1,737,500","$1,575,000",2019,QB
Blaine Gabbert,Buccaneers,"$1,593,750","$1,600,000",2019,QB
Robert Griffin III,Ravens,"$1,500,000","$2,000,000",2019,QB
Matt Schaub,Falcons,"$1,405,000","$1,780,000",2019,QB
Josh Rosen,Dolphins,"$1,279,898","$1,279,898",2019,QB
Drew Lock,Broncos,"$1,274,694","$3,613,776",2019,QB
Ryan Griffin,Buccaneers,"$1,255,000","$1,255,000",2019,QB
Blake Bortles,Rams,"$1,000,000","$1,000,000",2019,QB
C.J. Beathard,49ers,"$962,358","$785,786",2019,QB
DeShone Kizer,Raiders,"$914,856","$914,856",2019,QB
Mason Rudolph,Steelers,"$891,333","$658,267",2019,QB
Sean Mannion,Vikings,"$735,000","$895,000",2019,QB
Joe Webb,Texans,"$735,000","$1,020,000",2019,QB
Geno Smith,Seahawks,"$710,000","$870,000",2019,QB
Will Grier,Panthers,"$700,545","$1,317,180",2019,QB
Ryan Finley,Bengals,"$692,414","$1,284,656",2019,QB
Jarrett Stidham,Patriots,"$654,028","$1,131,112",2019,QB
Cooper Rush,Cowboys,"$646,668","$645,000",2019,QB
Matt Moore,Chiefs,"$645,000","$1,030,000",2019,QB
Brandon Allen,Broncos,"$645,000","$645,000",2019,QB
Taysom Hill,Saints,"$645,000","$645,000",2019,QB
Garrett Gilbert,Browns,"$632,500","$670,000",2019,QB
Joshua Dobbs,Jaguars,"$607,059","$607,059",2019,QB
Tim Boyle,Packers,"$572,000","$570,000",2019,QB
Nick Mullens,49ers,"$570,000","$570,000",2019,QB
Easton Stick,Chargers,"$564,655","$773,620",2019,QB
Gardner Minshew,Jaguars,"$542,904","$686,616",2019,QB
Alex Tanney,Giants,"$538,971","$501,471",2019,QB
Trace McSorley,Ravens,"$535,172","$655,688",2019,QB
Jeff Driskel,Lions,"$513,353","$513,353",2019,QB
Jacob Dolegala,Bengals,"$496,666","$500,000",2019,QB
David Blough,Lions,"$495,000","$495,000",2019,QB
Kyle Allen,Panthers,"$495,000","$495,000",2019,QB
David Fales,Jets,"$493,235","$615,588",2019,QB
Paxton Lynch,Steelers,"$455,294","$455,294",2019,QB
Devlin Hodges,Steelers,"$436,765","$436,765",2019,QB
Nathan Peterman,Raiders,"$408,000","$408,000",2019,QB
Matt Simms,Falcons,"$408,000","$408,000",2019,QB
Cody Kessler,Patriots,"$381,176","$381,176",2019,QB
Kurt Benkert,Falcons,"$378,000","$378,000",2019,QB
Josh Woodrum,Commanders,"$378,000","$378,000",2019,QB
Kyle Lauletta,Eagles,"$340,000","$340,000",2019,QB
Jake Rudock,Dolphins,"$340,000","$340,000",2019,QB
Alex McGough,Texans,"$320,298","$320,298",2019,QB
Chad Kelly,Colts,"$268,235","$268,235",2019,QB
Kyle Sloter,Lions,"$189,706","$189,706",2019,QB
Jake Browning,Vikings,"$170,000","$170,000",2019,QB
Davis Webb,Bills,"$162,000","$162,000",2019,QB
Tyler Bray,Bears,"$137,500","$137,500",2019,QB
Logan Woodside,Titans,"$136,000","$136,000",2019,QB
Clayton Thorson,Cowboys,"$136,000","$136,000",2019,QB
Manny Wilkins,Packers,"$136,000","$136,000",2019,QB
John Wolford,Rams,"$136,000","$136,000",2019,QB
Mike White,Jets,"$124,000","$124,000",2019,QB
Brett Rypien,Broncos,"$116,468","$116,468",2019,QB
Danny Etling,Falcons,"$72,000","$72,000",2019,QB
Kyle Shurmur,Chiefs,"$64,000","$64,000",2019,QB
Joe Callahan,Lions,"$32,000","$32,000",2019,QB
Drew Anderson,Cardinals,"$29,118","$29,118",2019,QB
J.T. Barrett,Steelers,"$8,000","$8,000",2019,QB
Dak Prescott,Cowboys,"$31,409,000","$31,409,000",2020,QB
Russell Wilson,Seahawks,"$31,000,000","$18,000,000",2020,QB
Jared Goff,Rams,"$28,842,682","$31,042,682",2020,QB
Jimmy Garoppolo,49ers,"$26,600,000","$25,200,000",2020,QB
Philip Rivers,Colts,"$25,000,000","$25,000,000",2020,QB
Tom Brady,Buccaneers,"$25,000,000","$27,875,000",2020,QB
Ben Roethlisberger,Steelers,"$23,750,000","$21,000,000",2020,QB
Drew Brees,Saints,"$23,650,000","$25,000,000",2020,QB
Ryan Tannehill,Titans,"$22,500,000","$37,500,000",2020,QB
Aaron Rodgers,Packers,"$21,642,000","$7,290,000",2020,QB
Derek Carr,Raiders,"$21,500,000","$19,000,000",2020,QB
Jacoby Brissett,Colts,"$21,312,500","$14,500,000",2020,QB
Matt Stafford,Lions,"$21,300,000","$21,500,000",2020,QB
Kirk Cousins,Vikings,"$21,000,000","$40,000,000",2020,QB
Alex Smith,Commanders,"$20,300,000","$16,000,000",2020,QB
Matt Ryan,Falcons,"$18,962,500","$20,500,000",2020,QB
Carson Wentz,Eagles,"$18,656,536","$39,383,000",2020,QB
Teddy Bridgewater,Panthers,"$14,000,000","$23,953,125",2020,QB
Deshaun Watson,Texans,"$9,808,244","$29,354,247",2020,QB
Mitchell Trubisky,Bears,"$9,237,593","$4,423,968",2020,QB
Marcus Mariota,Raiders,"$9,125,000","$7,700,000",2020,QB
Baker Mayfield,Browns,"$9,003,540","$3,541,180",2020,QB
Sam Darnold,Jets,"$8,339,371","$3,319,790",2020,QB
Kyler Murray,Cardinals,"$8,080,601","$2,183,120",2020,QB
Ryan Fitzpatrick,Dolphins,"$8,000,000","$8,000,000",2020,QB
Tyrod Taylor,Chargers,"$7,500,000","$5,000,000",2020,QB
Nick Foles,Bears,"$6,666,666","$8,000,000",2020,QB
Joe Burrow,Bengals,"$6,580,025","$24,490,100",2020,QB
Daniel Jones,Giants,"$5,922,740","$1,751,548",2020,QB
Josh Allen,Bills,"$5,867,191","$2,495,730",2020,QB
Tua Tagovailoa,Dolphins,"$5,504,625","$20,188,500",2020,QB
Patrick Mahomes,Chiefs,"$5,346,538","$10,825,000",2020,QB
Taysom Hill,Saints,"$4,841,000","$8,841,000",2020,QB
Justin Herbert,Chargers,"$4,832,501","$17,500,004",2020,QB
A.J. McCarron,Texans,"$4,000,000","$4,000,000",2020,QB
Andy Dalton,Cowboys,"$3,000,000","$3,000,000",2020,QB
Case Keenum,Browns,"$2,833,333","$5,500,000",2020,QB
Lamar Jackson,Ravens,"$2,583,178","$1,341,060",2020,QB
Robert Griffin III,Ravens,"$2,500,000","$2,000,000",2020,QB
Matt Schaub,Falcons,"$2,375,000","$2,000,000",2020,QB
Jordan Love,Packers,"$2,251,540","$7,176,160",2020,QB
Colt McCoy,Giants,"$2,250,000","$2,250,000",2020,QB
Matt Barkley,Bills,"$2,025,000","$1,825,000",2020,QB
Chase Daniel,Lions,"$2,000,000","$3,500,000",2020,QB
Jeff Driskel,Broncos,"$1,750,000","$2,500,000",2020,QB
Nate Sudfeld,Eagles,"$1,700,000","$1,700,000",2020,QB
Cam Newton,Patriots,"$1,662,500","$3,750,000",2020,QB
Ryan Griffin,Buccaneers,"$1,645,000","$1,345,000",2020,QB
Chad Henne,Chiefs,"$1,625,000","$2,000,000",2020,QB
Drew Lock,Broncos,"$1,593,368","$813,674",2020,QB
Joe Flacco,Jets,"$1,562,500","$1,500,000",2020,QB
C.J. Beathard,49ers,"$1,122,751","$946,179",2020,QB
Jameis Winston,Saints,"$1,100,000","$1,100,000",2020,QB
Jalen Hurts,Eagles,"$1,095,486","$2,551,944",2020,QB
Mason Rudolph,Steelers,"$1,069,620","$836,554",2020,QB
Brian Hoyer,Patriots,"$1,050,000","$1,050,000",2020,QB
Nathan Peterman,Raiders,"$1,000,000","$1,000,000",2020,QB
Geno Smith,Seahawks,"$887,500","$1,187,500",2020,QB
Blaine Gabbert,Buccaneers,"$887,500","$1,187,500",2020,QB
Brett Hundley,Cardinals,"$887,500","$1,047,500",2020,QB
Sean Mannion,Vikings,"$887,500","$1,047,500",2020,QB
Will Grier,Panthers,"$880,545","$675,000",2020,QB
Ryan Finley,Bengals,"$872,414","$675,000",2020,QB
Mike Glennon,Jaguars,"$840,625","$1,115,625",2020,QB
Jarrett Stidham,Patriots,"$834,028","$675,000",2020,QB
Joshua Dobbs,Steelers,"$825,000","$825,000",2020,QB
Jacob Eason,Colts,"$793,066","$1,403,066",2020,QB
James Morgan,Jets,"$788,816","$1,325,264",2020,QB
Tim Boyle,Packers,"$752,000","$750,000",2020,QB
Nick Mullens,49ers,"$750,000","$750,000",2020,QB
Easton Stick,Chargers,"$744,655","$675,000",2020,QB
Gardner Minshew,Jaguars,"$722,904","$675,000",2020,QB
Jake Fromm,Bills,"$685,740","$912,960",2020,QB
John Wolford,Rams,"$685,000","$760,000",2020,QB
Phillip Walker,Panthers,"$685,000","$760,000",2020,QB
Kyle Allen,Commanders,"$675,000","$675,000",2020,QB
Jake Luton,Jaguars,"$655,439","$791,756",2020,QB
Ben DiNucci,Cowboys,"$633,787","$705,148",2020,QB
Trace McSorley,Ravens,"$630,882","$671,054",2020,QB
Logan Woodside,Titans,"$610,000","$610,000",2020,QB
Chris Streveler,Cardinals,"$610,000","$610,000",2020,QB
Brett Rypien,Broncos,"$595,588","$595,588",2020,QB
Garrett Gilbert,Cowboys,"$529,412","$529,412",2020,QB
Josh McCown,Texans,"$526,471","$526,471",2020,QB
David Blough,Lions,"$476,471","$476,471",2020,QB
Tyler Bray,Bears,"$323,316","$323,316",2020,QB
Brandon Allen,Bengals,"$291,176","$291,176",2020,QB
Matt Moore,Chiefs,"$253,765","$253,765",2020,QB
Tyler Huntley,Ravens,"$252,728","$252,728",2020,QB
Reid Sinnett,Dolphins,"$189,364","$189,364",2020,QB
Davis Webb,Bills,"$178,518","$178,518",2020,QB
Clayton Thorson,Giants,"$172,564","$172,564",2020,QB
Kurt Benkert,Falcons,"$170,282","$170,282",2020,QB
Bryce Perkins,Rams,"$170,282","$170,282",2020,QB
Cooper Rush,Cowboys,"$156,529","$156,529",2020,QB
Jake Browning,Vikings,"$142,800","$142,800",2020,QB
Nate Stanley,Vikings,"$142,800","$142,800",2020,QB
Danny Etling,Seahawks,"$142,800","$142,800",2020,QB
Devlin Hodges,Steelers,"$142,800","$142,800",2020,QB
Taylor Heinicke,Commanders,"$132,353","$160,588",2020,QB
Kevin Hogan,Bengals,"$113,529","$113,529",2020,QB
Kyle Lauletta,Browns,"$100,800","$100,800",2020,QB
Josh Johnson,49ers,"$96,000","$96,000",2020,QB
Josh Rosen,49ers,"$88,235","$88,235",2020,QB
DeShone Kizer,Titans,"$72,000","$72,000",2020,QB
Kyle Sloter,Bears,"$67,200","$67,200",2020,QB
Alex Tanney,Giants,"$60,000","$60,000",2020,QB
Jacob Dolegala,Patriots,"$58,800","$58,800",2020,QB
Mike White,Jets,"$50,400","$50,400",2020,QB
Blake Bortles,Rams,"$44,118","$53,529",2020,QB
Jake Rudock,Dolphins,"$44,118","$44,118",2020,QB
Steven Montez,Commanders,"$35,882","$35,882",2020,QB
Tommy Stevens,Panthers,"$35,882","$35,882",2020,QB
Alex McGough,Seahawks,"$33,600","$33,600",2020,QB
Jordan Ta'amu,Chiefs,"$25,200","$25,200",2020,QB
Kyle Shurmur,Bengals,"$25,200","$25,200",2020,QB
Trevor Siemian,Saints,"$24,000","$24,000",2020,QB
Drew Stanton,Buccaneers,"$24,000","$24,000",2020,QB
Tyler Huntley,Ravens,$0,$0,2020,QB
LeSean McCoy,Bills,"$8,950,000","$6,325,000",2018,RB
Todd Gurley,Rams,"$7,228,306","$21,950,000",2018,RB
Ezekiel Elliott,Cowboys,"$6,806,274","$2,718,758",2018,RB
Lamar Miller,Texans,"$6,750,000","$5,703,125",2018,RB
Leonard Fournette,Jaguars,"$6,070,706","$1,599,182",2018,RB
Jerick McKinnon,49ers,"$6,000,000","$11,750,000",2018,RB
Saquon Barkley,Giants,"$5,671,773","$21,247,092",2018,RB
Mark Ingram,Saints,"$5,303,824","$3,558,824",2018,RB
Latavius Murray,Vikings,"$5,200,000","$4,000,000",2018,RB
David Johnson,Cardinals,"$5,041,843","$13,882,500",2018,RB
Devonta Freeman,Falcons,"$5,000,000","$2,000,000",2018,RB
Bilal Powell,Jets,"$4,883,334","$4,000,000",2018,RB
Marshawn Lynch,Raiders,"$4,453,125","$4,031,250",2018,RB
Dion Lewis,Titans,"$4,312,500","$6,000,000",2018,RB
Giovani Bernard,Bengals,"$4,250,000","$3,450,000",2018,RB
Theo Riddick,Lions,"$4,137,500","$3,162,500",2018,RB
Jonathan Stewart,Giants,"$3,925,000","$3,125,000",2018,RB
Christian McCaffrey,Panthers,"$3,918,478","$1,248,696",2018,RB
Duke Johnson,Browns,"$3,894,523","$5,967,000",2018,RB
Melvin Gordon,Chargers,"$3,394,924","$1,889,967",2018,RB
Chris Thompson,Commanders,"$3,152,250","$2,152,250",2018,RB
Corey Grant,Jaguars,"$2,914,000","$2,914,000",2018,RB
James White,Patriots,"$2,500,000","$2,000,000",2018,RB
Chris Ivory,Bills,"$2,468,750","$3,156,250",2018,RB
Rex Burkhead,Patriots,"$2,312,500","$4,250,000",2018,RB
Isaiah Crowell,Jets,"$2,000,000","$4,000,000",2018,RB
LeGarrette Blount,Lions,"$2,000,000","$2,000,000",2018,RB
Rashaad Penny,Seahawks,"$1,957,352","$6,389,408",2018,RB
Jay Ajayi,Eagles,"$1,907,000","$1,907,000",2018,RB
T.J. Yeldon,Jaguars,"$1,881,656","$1,241,424",2018,RB
Sony Michel,Patriots,"$1,750,308","$5,561,232",2018,RB
Damien Williams,Chiefs,"$1,733,333","$2,800,000",2018,RB
Jacquizz Rodgers,Buccaneers,"$1,600,000","$1,600,000",2018,RB
Doug Martin,Raiders,"$1,475,000","$1,475,000",2018,RB
Derrick Henry,Titans,"$1,474,890","$941,630",2018,RB
Dalvin Cook,Vikings,"$1,443,934","$753,787",2018,RB
Darren Sproles,Eagles,"$1,433,750","$1,415,000",2018,RB
Nick Chubb,Browns,"$1,342,381","$4,791,905",2018,RB
Jeremy Hill,Patriots,"$1,331,250","$1,218,750",2018,RB
Ronald Jones II,Buccaneers,"$1,285,805","$3,703,220",2018,RB
Joe Mixon,Bengals,"$1,238,673","$712,735",2018,RB
Mike Davis,Seahawks,"$1,237,500","$1,350,000",2018,RB
Carlos Hyde,Jaguars,"$1,220,588","$1,195,588",2018,RB
Kerryon Johnson,Lions,"$1,182,490","$3,289,960",2018,RB
Fozzy Whittaker,Panthers,"$1,150,000","$1,150,000",2018,RB
Spencer Ware,Chiefs,"$1,108,334","$1,750,000",2018,RB
Frank Gore,Dolphins,"$1,105,000","$1,105,000",2018,RB
Benny Cunningham,Bears,"$1,037,500","$1,050,000",2018,RB
Tevin Coleman,Falcons,"$977,939","$791,628",2018,RB
Kenyan Drake,Dolphins,"$910,315","$705,000",2018,RB
Alvin Kamara,Saints,"$878,193","$635,000",2018,RB
Brandon Bolden,Dolphins,"$850,000","$850,000",2018,RB
C.J. Prosise,Seahawks,"$833,116","$660,000",2018,RB
Derrius Guice,Commanders,"$825,806","$1,863,224",2018,RB
Buck Allen,Ravens,"$823,618","$705,000",2018,RB
D'Onta Foreman,Texans,"$778,371","$588,500",2018,RB
James Conner,Steelers,"$754,572","$578,000",2018,RB
Cameron Artis-Payne,Panthers,"$746,563","$705,000",2018,RB
Royce Freeman,Broncos,"$729,255","$1,477,020",2018,RB
Devontae Booker,Broncos,"$725,848","$630,000",2018,RB
Alfred Blue,Texans,"$720,000","$880,000",2018,RB
Samaje Perine,Commanders,"$719,947","$555,000",2018,RB
Kenneth Dixon,Ravens,"$717,391","$630,000",2018,RB
Tarik Cohen,Bears,"$713,289","$555,000",2018,RB
Raheem Mostert,49ers,"$705,000","$705,000",2018,RB
Rod Smith,Cowboys,"$705,000","$705,000",2018,RB
DeAndre Washington,Raiders,"$697,299","$630,000",2018,RB
Jamaal Williams,Packers,"$696,498","$555,000",2018,RB
Jordan Howard,Bears,"$692,006","$630,000",2018,RB
Wendell Smallwood,Eagles,"$691,145","$630,000",2018,RB
Nyheim Hines,Colts,"$661,137","$1,204,548",2018,RB
Wayne Gallman,Giants,"$659,912","$555,000",2018,RB
Marlon Mack,Colts,"$659,912","$555,000",2018,RB
Mark Walton,Bengals,"$651,337","$1,165,348",2018,RB
Rob Kelley,Commanders,"$631,000","$630,000",2018,RB
Malcolm Brown,Rams,"$630,000","$630,000",2018,RB
David Fluellen,Titans,"$630,000","$630,000",2018,RB
Alex Collins,Ravens,"$630,000","$630,000",2018,RB
Peyton Barber,Buccaneers,"$630,000","$630,000",2018,RB
Adrian Peterson,Commanders,"$630,000","$1,015,000",2018,RB
Stevan Ridley,Steelers,"$630,000","$790,000",2018,RB
Senorise Perry,Dolphins,"$630,000","$630,000",2018,RB
Jalen Richard,Raiders,"$630,000","$630,000",2018,RB
Alfred Morris,49ers,"$630,000","$790,000",2018,RB
Kalen Ballage,Dolphins,"$627,295","$1,069,180",2018,RB
Ito Smith,Falcons,"$621,453","$1,087,107",2018,RB
Marcus Murphy,Bills,"$602,118","$602,118",2018,RB
Taiwan Jones,Bills,"$594,529","$704,235",2018,RB
Chase Edmonds,Cardinals,"$593,089","$932,356",2018,RB
Chris Carson,Seahawks,"$571,285","$555,000",2018,RB
Justin Davis,Rams,"$560,000","$555,000",2018,RB
Austin Ekeler,Chargers,"$556,666","$555,000",2018,RB
C.J. Ham,Vikings,"$555,000","$555,000",2018,RB
Matt Breida,49ers,"$546,254","$544,588",2018,RB
Jordan Wilkins,Colts,"$540,310","$721,240",2018,RB
T.J. Logan,Cardinals,"$530,487","$480,000",2018,RB
Corey Clement,Eagles,"$527,098","$523,765",2018,RB
John Kelly,Rams,"$527,073","$668,292",2018,RB
Brian Hill,Falcons,"$522,353","$522,353",2018,RB
Aaron Jones,Packers,"$519,369","$468,882",2018,RB
Dwayne Washington,Saints,"$518,824","$518,824",2018,RB
Trenton Cannon,Jets,"$514,807","$619,228",2018,RB
Elijah McGuire,Jets,"$513,835","$471,706",2018,RB
Byron Marshall,Commanders,"$490,588","$490,588",2018,RB
Elijhaa Penny,Giants,"$489,706","$489,706",2018,RB
